AccelSec ,TopSpeed_KmH ,Range_Km ,Efficiency_WhKm ,FastCharge_KmH ,RapidCharge ,PowerTrain ,PlugType       ,BodyStyle ,Segment ,Seats ,PriceEuro,Model_ID
10.0,160,290,179,230            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,C       ,5,35000,22
3.5,240,425,197,850            ,Yes         ,AWD        ,Type 2 CCS     ,Sedan     ,F       ,4,125000,23
3.4,261,435,167,910            ,Yes         ,AWD        ,Type 2 CCS     ,Sedan     ,D       ,5,61480,24
7.5,160,420,183,560            ,Yes         ,RWD        ,Type 2 CCS     ,SUV       ,C       ,5,45000,25
9.0,160,350,166,490            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,C       ,5,33000,26
4.9,180,375,200,470            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,C       ,5,60437,27
7.3,150,235,161,270            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,B       ,4,38017,28
8.5,150,250,180,380            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,34361,29
6.8,190,280,231,450            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,67358,30
7.8,167,370,173,350            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,C       ,5,38105,31
11.4,135,315,165,230            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,B       ,5,31184,32
3.0,210,750,267,710            ,Yes         ,AWD        ,Type 2 CCS     ,Pickup    ,N       ,6,75000,33
9.0,150,180,178,240            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,C       ,5,32646,34
7.3,157,325,172,390            ,Yes         ,FWD        ,Type 2 CHAdeMO ,Hatchback ,C       ,5,37237,35
7.5,160,270,193,190            ,Yes         ,FWD        ,Type 2 CHAdeMO ,SUV       ,C       ,5,50000,36
6.5,160,425,181,570            ,Yes         ,RWD        ,Type 2 CCS     ,Hatchback ,C       ,4,45000,37
9.5,140,310,168,230            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,B       ,5,33133,38
5.0,200,350,171,440            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,C       ,5,45000,39
3.8,250,515,184,560            ,Yes         ,AWD        ,Type 2         ,Liftback  ,F       ,5,79990,40
9.9,155,255,154,210            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,33971,41
5.7,200,380,228,610            ,Yes         ,AWD        ,Type 2 CCS     ,SUV       ,E       ,5,81639,42
12.3,130,195,166,170            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,A       ,4,24534,43
12.3,130,195,166,170            ,Yes         ,FWD        ,Type 2 CCS     ,Hatchback ,A       ,4,20129,44
7.9,167,365,175,340            ,Yes         ,FWD        ,Type 2 CCS     ,SUV       ,B       ,5,36837,45
7.3,150,335,173,210            ,Yes         ,FWD        ,Type 2 CCS     ,MPV       ,B       ,5,41906,46
4.0,250,365,195,730            ,Yes         ,AWD        ,Type 2 CCS     ,Sedan     ,F       ,4,102945,47
